,module,inverter,power_required,nmod,ninv,modules_per_string,max_strings,total_ipmd,total_ipinv,ipsys
2265,23,19,37220,80.0,7,6,2,0.2074115227153978,0.0009381743127873159,0.20834969702818512
2266,23,19,66054,142.0,13,6,2,0.36815545281983114,0.0017423237237478722,0.369897776543579
2267,5,16,4146,5.0,1,3,1,0.010084581401127536,4.982064567556796e-05,0.010134402046803104
2268,23,19,65369,231.0,13,9,2,0.5989007718407112,0.0017423237237478722,0.600643095564459
2269,23,19,43466,129.0,9,8,2,0.334451080378579,0.0012062241164408347,0.33565730449501985
2270,23,19,37391,91.0,7,7,2,0.23593060708876504,0.0009381743127873159,0.23686878140155235
2271,23,19,5733,16.0,2,4,2,0.041482304543079565,0.0002680498036535188,0.04175035434673308
2272,23,19,119530,260.0,23,6,2,0.6740874488250429,0.0030825727420154664,0.6771700215670584
2273,23,19,21476,42.0,4,6,2,0.10889104942558386,0.0005360996073070376,0.1094271490328909
2274,23,19,9583,21.0,2,6,2,0.05444552471279193,0.0002680498036535188,0.05471357451644545
2275,23,19,28492,56.0,6,5,2,0.14518806590077848,0.0008041494109605565,0.14599221531173903
2276,23,19,126888,321.0,24,7,2,0.8322387348955338,0.003216597643842226,0.835455332539376
2277,23,19,8984,16.0,2,4,2,0.041482304543079565,0.0002680498036535188,0.04175035434673308
2278,23,19,39273,93.0,8,6,2,0.24111589515664997,0.0010721992146140752,0.24218809437126404
2279,23,19,56899,175.0,11,8,2,0.45371270593993274,0.0014742739200943535,0.4551869798600271
2280,23,19,99509,162.0,19,5,2,0.4200083334986806,0.0025464731347084285,0.422554806633389
2281,23,19,64856,222.0,13,9,2,0.575566975535229,0.0017423237237478722,0.5773092992589768
2282,23,19,24813,91.0,5,10,2,0.23593060708876504,0.000670124509133797,0.23660073159789882
2283,23,19,104728,348.0,20,9,2,0.9022401238119805,0.002680498036535188,0.9049206218485156
2284,23,19,40984,76.0,8,5,2,0.19704094657962792,0.0010721992146140752,0.198113145794242
2285,23,19,72471,239.0,14,9,2,0.619641924112251,0.0018763486255746317,0.6215182727378257
2286,23,1,9276,17.0,8,2,2,0.04407494857702204,0.0011012730716708516,0.04517622164869289
2287,23,19,59979,195.0,12,9,2,0.5055655866187821,0.001608298821921113,0.5071738854407033
2288,23,19,16257,43.0,4,6,2,0.11148369345952633,0.0005360996073070376,0.11201979306683336
2289,23,19,111658,267.0,21,7,2,0.6922359570626403,0.0028145229383619475,0.6950504800010022
2290,23,19,55273,91.0,11,5,2,0.23593060708876504,0.0014742739200943535,0.2374048810088594
2291,23,19,29690,49.0,6,5,2,0.12703955766318117,0.0008041494109605565,0.12784370707414172
2292,23,19,112000,221.0,21,6,2,0.5729743315012865,0.0028145229383619475,0.5757888544396484
2293,23,19,52706,171.0,10,9,2,0.4433421298041629,0.001340249018267594,0.44468237882243045
2294,23,19,63059,249.0,12,11,2,0.6455683644516758,0.001608298821921113,0.6471766632735969
2295,23,19,69220,147.0,13,6,2,0.3811186729895435,0.0017423237237478722,0.3828609967132914
2296,23,19,14375,33.0,3,6,2,0.08555725312010161,0.00040207470548027824,0.08595932782558188
2297,23,19,125690,249.0,24,6,2,0.6455683644516758,0.003216597643842226,0.648784962095518
2298,23,19,77690,141.0,15,5,2,0.36556280878588865,0.002010373527401391,0.36757318231329006
2299,23,19,11209,39.0,3,7,2,0.10111311732375644,0.00040207470548027824,0.10151519202923671
2300,23,19,41412,68.0,8,5,2,0.17629979430808815,0.0010721992146140752,0.17737199352270222
2301,23,19,21819,80.0,5,8,2,0.2074115227153978,0.000670124509133797,0.2080816472245316
2302,23,19,120471,304.0,23,7,2,0.7881637863185117,0.0030825727420154664,0.7912463590605272
2303,23,19,17968,49.0,4,7,2,0.12703955766318117,0.0005360996073070376,0.12757565727048822
2304,23,19,62375,121.0,12,6,2,0.31370992810703924,0.001608298821921113,0.31531822692896033
2305,23,19,56557,192.0,11,9,2,0.4977876545169548,0.0014742739200943535,0.49926192843704914
2306,23,19,77006,144.0,15,5,2,0.37334074088771607,0.002010373527401391,0.3753511144151175
2307,23,19,116364,201.0,22,5,2,0.521121450822437,0.002948547840188707,0.5240699986626257
2308,23,19,63059,193.0,12,9,2,0.5003802985508973,0.001608298821921113,0.5019885973728184
2309,23,19,126632,237.0,24,5,2,0.6144566360443661,0.003216597643842226,0.6176732336882083
2310,23,19,96514,265.0,18,8,2,0.6870506689947553,0.0024124482328816694,0.689463117227637
2311,23,19,108920,190.0,21,5,2,0.49260236644906985,0.0028145229383619475,0.4954168893874318
2312,23,19,126717,218.0,24,5,2,0.5651963993994591,0.003216597643842226,0.5684129970433013
2313,23,19,44236,85.0,9,5,2,0.2203747428851102,0.0012062241164408347,0.22158096700155103
2314,23,19,52193,98.0,10,5,2,0.25407911532636235,0.001340249018267594,0.2554193643446299
2315,23,19,33541,61.0,7,5,2,0.15815128607049084,0.0009381743127873159,0.15908946038327815
2316,23,19,15316,46.0,3,8,2,0.11926162556135375,0.00040207470548027824,0.11966370026683402
2317,23,19,12664,25.0,3,5,2,0.06481610084856182,0.00040207470548027824,0.0652181755540421
2318,23,19,76664,265.0,15,9,2,0.6870506689947553,0.002010373527401391,0.6890610425221567
2319,23,19,50140,87.0,10,5,2,0.22556003095299512,0.001340249018267594,0.22690027997126272
2320,23,19,40129,70.0,8,5,2,0.1814850823759731,0.0010721992146140752,0.18255728159058718
2321,23,17,6129,10.0,2,3,2,0.025926440339424726,0.0003805870174156619,0.026307027356840387
2322,25,9,5052,8.0,1,4,2,0.012555856048666911,0.00019029350870783095,0.012746149557374742
2323,23,19,49198,195.0,10,10,2,0.5055655866187821,0.001340249018267594,0.5069058356370497
2324,23,19,121156,237.0,23,6,2,0.6144566360443661,0.0030825727420154664,0.6175392087863816
2325,23,19,46033,178.0,9,10,2,0.46149063804176016,0.0012062241164408347,0.462696862158201
2326,23,19,106353,177.0,20,5,2,0.45889799400781767,0.002680498036535188,0.46157849204435286
2327,23,19,120129,261.0,23,6,2,0.6766800928589854,0.0030825727420154664,0.679762665601001
2328,23,19,36535,77.0,7,6,2,0.19963359061357042,0.0009381743127873159,0.20057176492635773
2329,23,19,127744,331.0,24,7,2,0.8581651752349585,0.003216597643842226,0.8613817728788007
2330,23,19,39273,86.0,8,6,2,0.22296738691905266,0.0010721992146140752,0.22403958613366673
